size,latency
10,660.530
20,667.960
30,650.460
40,657.210
50,647.370
60,645.160
70,676.160
80,647.200
90,690.600
100,660.560
110,670.900
120,676.440
130,670.430
140,686.820
150,675.130
160,673.540
170,671.010
180,673.790
190,683.190
200,664.780
210,671.550
220,675.520
230,667.700
240,682.030
250,679.410
260,674.930
270,678.820
280,666.290
290,688.400
300,676.280
310,693.720
320,692.670
330,680.920
340,692.600
350,680.190
360,694.910
370,680.610
380,687.900
390,698.400
400,693.300
410,708.560
420,679.740
430,701.720
440,708.680
450,686.700
460,709.400
470,703.010
480,704.470
490,701.800
500,690.290
510,714.090
520,704.770
530,682.180
540,722.760
550,698.500
560,725.750
570,707.700
580,703.460
590,716.070
600,709.930
610,707.710
620,709.970
630,705.600
640,729.670
650,710.150
660,708.190
670,707.990
680,706.260
690,705.620
700,694.270
710,698.450
720,715.350
730,705.540
740,732.680
750,717.310
760,725.540
770,711.010
780,707.580
790,716.370
800,706.520
810,710.040
820,719.450
830,715.110
840,723.000
850,699.680
860,712.920
870,719.560
880,717.380
890,724.230
900,715.060
910,708.000
920,714.710
930,720.770
940,738.850
950,709.750
960,731.340
970,709.470
980,723.820
990,719.490
1000,720.630
