size,latency
10,365.47
20,361.67
30,363.79
40,377.88
50,372.75
60,376.69
70,366.93
80,385.99
90,388.72
100,398.99
110,398.91
120,407.03
130,411.4
140,416.66
150,404.43
160,416.43
170,423.7
180,428.67
190,434.55
200,436.68
210,439.33
220,446.67
230,439.85
240,446.81
250,458.44
260,457.88
270,448.35
280,434.17
290,437.31
300,430.48
310,445.71
320,441.33
330,443.83
340,446.05
350,442.28
360,451.6
370,453.52
380,451.92
390,451.93
400,456.03
410,458.82
420,462.51
430,458.09
440,463.32
450,468.85
460,460.35
470,470.27
480,470.8
490,478.85
500,482.35
510,486.27
520,490.1
530,479.83
540,492.07
550,485.64
560,493.44
570,497.65
580,499.09
590,494.55
600,495.44
610,499.81
620,508.19
630,517.64
640,504.39
650,513.4
660,503.76
670,508.53
680,518.33
690,520
700,521.12
710,524.67
720,531.12
730,532.3
740,525.69
750,518.06
760,534.89
770,538.67
780,538.04
790,541.46
800,542.87
810,525.03
820,542.92
830,553.16
840,540.19
850,543.42
860,549.23
870,559.58
880,541.52
890,550.4
900,560.28
910,565.38
920,559.87
930,564.58
940,555.68
950,569.57
960,557.55
970,573.73
980,571.71
990,577.05
1000,574.81
