size,latency
10,10.980
20,6.810
30,8.970
40,12.460
50,14.750
60,16.360
70,20.190
80,22.210
90,23.790
100,25.000
110,26.860
120,29.580
130,31.600
140,32.750
150,26.010
160,27.600
170,29.550
180,30.710
190,34.930
200,33.520
210,35.110
220,38.410
230,39.140
240,39.600
250,43.640
260,43.280
270,44.760
280,47.910
290,48.630
300,52.110
310,51.540
320,54.230
330,54.500
340,57.810
350,58.350
360,60.860
370,62.140
380,63.990
390,64.510
400,68.150
410,68.230
420,69.370
430,72.210
440,73.410
450,76.490
460,77.220
470,77.500
480,82.170
490,82.230
500,83.830
510,83.850
520,99.360
530,88.950
540,90.890
550,91.900
560,94.280
570,95.450
580,97.040
590,99.220
600,100.340
610,100.810
620,103.250
630,105.180
640,106.730
650,108.360
660,110.050
670,112.540
680,115.420
690,117.890
700,118.130
710,119.000
720,121.730
730,123.050
740,123.980
750,124.990
760,126.880
770,128.980
780,130.760
790,130.830
800,133.380
810,136.120
820,136.540
830,138.560
840,140.540
850,142.130
860,142.500
870,197.460
880,146.200
890,148.840
900,149.040
910,152.600
920,154.050
930,155.290
940,155.850
950,158.280
960,159.890
970,161.640
980,162.990
990,164.850
1000,167.510
