size,latency
10,3.757
20,3.715
30,3.78
40,3.793
50,3.942
60,3.836
70,4.045
80,4.082
90,4.062
100,4.102
110,4.161
120,4.084
130,4.204
140,4.131
150,4.321
160,4.309
170,4.396
180,4.231
190,4.191
200,4.197
210,4.237
220,4.27
230,4.248
240,4.308
250,4.363
260,4.377
270,4.317
280,4.351
290,4.451
300,4.504
310,4.357
320,4.503
330,4.541
340,4.572
350,4.582
360,4.553
370,4.661
380,4.595
390,4.675
400,4.729
410,4.771
420,4.747
430,4.711
440,4.82
450,4.844
460,4.765
470,4.868
480,4.938
490,4.881
500,4.966
510,4.979
520,4.989
530,5.028
540,4.968
550,5.048
560,5.103
570,5.126
580,5.05
590,5.135
600,5.157
610,4.995
620,5.192
630,5.068
640,5.14
650,5.142
660,5.249
670,5.301
680,5.185
690,5.367
700,5.286
710,5.368
720,5.378
730,5.423
740,5.405
750,5.308
760,5.522
770,4.262
780,5.114
790,5.256
800,5.337
810,5.476
820,5.37
830,5.582
840,5.607
850,5.548
860,5.684
870,5.67
880,5.673
890,5.463
900,4.844
910,5.707
920,5.599
930,5.756
940,5.803
950,5.732
960,5.672
970,5.85
980,5.797
990,5.934
1000,5.853
